latitud;longitud;nombre;;direccion
3.47834;-76.48109;AKT MOTOS;;Carrera 1 No. 24-65
4.75099;-75.92598;SU MOTO DEL CAFÉ S.A.;;Carrera 4 con calle 21 esq
3.4784;-76.49651;AKT MOTOS;;Carrera 1 No. 22-57
3.44884;-76.47726;AKT MOTOS;;Carrera 15 No. 10-69
4.0798;-76.2003;ALMACEN DEL GAS - ELECTROMATH;;Carrera 23 # 24 - 43 CENTRO
3.52373;-76.30218;ALMACEN DEL GAS - TECNOELITE;;Carrera 31 KR 25 - 70
3.43402;-76.52645;ALMACEN DEL GAS - SG TECHNOLOGY.NET;;AV 5AN 23 D 68 LOCAL 147
3.43683;-76.51371;ALMACEN DEL GAS - RINOVA;;Carrera 23 CL 12A - 34
3.43402;-76.52645;ALMACEN DEL GAS - COMPUPARTES CALI;;AV 5AN 23 D 68 LOCAL 243
3.44997;-76.49961;ALMACEN DEL GAS - CREDIARIAS;;Carrera 11 # 8 -76
3.46109;-76.53424;ALMACEN DEL GAS - IA TECHNOLOGY;;Calle 16 KR 5 - 56 LOCAL 149
3.46233;-76.53067;POTENZA HIGH FORMANCE;;AV 6 A NORTE CON CALLE 24 ESQUINA
3.40751;-76.34721;ELECTROJAPONESA - ELECTROMUEBLES;;CR 7 # 7 A - 36
3.41989;-76.24019;ELECTROJAPONESA - ELECTROMUEBLES;;CR 9 # 4 - 58
3.26532;-76.53251;MOTOAMIGA;;CRA 3 #16 90
4.75756;-75.94574; FNB - GS - ALKOMPRAR CARTAGO;;Calle 34 # 2 - 45 C.C. Nuestro Cartago, Local L1-103
3.3707;-76.52784; FNB - GS - ALKOMPRAR JARDIN PLAZA;;Carrera 98 No. 16-50 Local 283 Centro Comercial Jardín Plaza
3.46544;-76.51354; FNB - GS - ALKOMPRAR UNICO;;Carrera 3 No. 52-126 Centro Comercial Único Local 1007
3.46092;-76.52067; FNB - GS - ALKOSTO CALI NORTE;;Carrera 1 con, Cl. 62 Nte
3.43412;-76.5282; FNB - GS - ALKOSTO CALI SUR;;Avenida Pasoancho Calle 13 No. 80-187
3.91469;-76.29473; FNB - GS - ALMACENES ÉXITO BUGA;;Carrera 13 No. 8-40
4.08373;-76.20295; FNB - GS - ALMACENES ÉXITO TULUA;;Carrera 19 No. 28-76 Centro Comercial La Herradura Local A01
3.39862;-76.52247; FNB - GS - CENCOSUD BOLIVAR;;Diagonal 65 No. 25-50
3.47008;-76.51388; FNB - GS - CENCOSUD JUMBO CHIPICHAPE;;Carrera 40 Norte No. 6A-45
3.3707;-76.52784; FNB - GS - CENCOSUD JUMBO VALLE DE LILI;;Carrera 98 No. 16-50 Centro Comercial Jardín Plaza
3.47011;-76.48641;FNB - GS - CENCOSUD METRO 70 CALI;;Carrera 3 No. 69B-26
3.89567;-76.29642; FNB - GS - CENCOSUD METRO BUGA;;Calle 4 No. 23-86
4.74205;-75.91023; FNB - GS - CENCOSUD METRO CARTAGO;;Calle 9 No. 12-127
3.53929;-76.29714; FNB - GS - CENCOSUD METRO PALMIRA;;Carrera 28 con Calle 43 Esquina
3.25944;-76.55718; FNB - GS - EXITO ALFAGUARA;;Cl. 2 No 22-175
3.43785;-76.51941; FNB - GS - EXITO AUTOPISTA SIMON BOLIVAR;;Avenida Simón Bolivar, Calle 70 Con Carrera 28D-20
4.74002;-75.91194; FNB - GS - EXITO CARTAGO;;Calle 11 No 4 -63
3.43402;-76.52645; FNB - GS - EXITO CENTRO;;Inhabilitada
3.48063;-76.52473; FNB - GS - EXITO CHIPICHAPE;;Avenida 6 Norte No. 35-47
3.49021;-76.51776; FNB - GS - ÉXITO EXITO FLORA;;Avenida 3F Norte 52N-46
3.52452;-76.28859; FNB - GS - ÉXITO PALMIRA;;Cl. 29 #25 - 51
3.43217;-76.5432; FNB - GS - EXITO SAN FERNANDO;;Calle 5 No. 38D-35
4.08373;-76.20295; FNB - GS - ÉXITO SUPER CENTRO TULUA;;Carrera 19  No.28 - 76 Centro Comercial
3.45374;-76.48617; FNB - GS - ÉXITO SUPER INTER ACOPI;;Calle 70 Arroyohondo
4.7473;-75.91461; FNB - GS - ÉXITO SUPER INTER CARTAGO;;Carrera 7 No 12 - 94
3.44816;-76.52988; FNB - GS - ÉXITO SUPER INTER LUNA;;Calle 13 No 31-41 Centro comercial Pryca
3.52868;-76.29083; FNB - GS - ÉXITO SUPER INTER PALMIRA;;Carrera 19 No.4-28
3.41998;-76.5122; FNB - GS - ÉXITO SUPER INTER PRIMAVERA;;Carrera 39 No.32-1
3.49121;-76.51006; FNB - GS - ÉXITO SUPER INTER YUMBO;;Calle 15 No.5-100
4.3965;-76.07057; FNB - GS - ÉXITO SUPER INTER ZARZAL;;Cra. 10 No 8-20
3.37297;-76.54002; FNB - GS - EXITO UNICALI;;Carrera Pasoancho No. 100 5-169 Centro Comercial Unicentro Local 244
3.3697;-76.51942; FNB - GS - ÉXITO VALLE DEL LILI;;Cra. 98b #25-130
3.47527;-76.52876; FNB - GS - KTRONIX;;Calle 38 Norte No. 6N-35 Centro Comercial Chipichape Local 101
3.48454;-76.51445;POP SERVICIOS ;;Avenida 3A Norte # 52-49 B/La Flora
